L;13.7023;2.5103;4.61151;1.7769;13.6955;2.65053;4.52448;2.23703;0;0;0;13.836;2.62479;
R;13.9524;2.64221;4.63803;1.87673;13.9208;2.7643;4.48147;2.31134;14.0988;0.19551;4.80612;0;0;
L;14.1707;2.74088;4.58113;1.88359;14.1439;2.88179;4.43656;2.38601;0;0;0;14.2106;2.94205;
R;14.3976;2.91906;4.5643;2.08247;14.3646;3.00303;4.38974;2.46099;14.8371;0.194676;5.23337;0;0;
L;14.6599;3.02719;4.73886;2.11207;14.583;3.12802;4.34097;2.5362;0;0;0;14.4616;2.90734;
R;14.8661;3.09155;4.69396;2.01926;14.7989;3.25679;4.29021;2.61157;15.2004;0.263587;5.15707;0;0;
L;15.1024;3.24718;4.73838;2.16036;15.0122;3.38932;4.23744;2.68703;0;0;0;15.0261;3.5067;
R;15.3112;3.47029;4.6712;2.43489;15.2228;3.52563;4.18263;2.76249;15.9183;0.263598;4.66589;0;0;
L;15.5133;3.61865;4.46156;2.46692;15.4306;3.66572;4.12575;2.83789;0;0;0;15.5236;3.82936;
R;15.7263;3.83156;4.42786;2.67816;15.6355;3.80957;4.06678;2.91315;16.089;0.213597;4.78562;0;0;
L;15.9371;3.93944;4.36549;2.60561;15.8375;3.95719;4.00571;2.98817;0;0;0;15.9774;4.00094;
R;16.1593;4.09354;4.36739;2.66055;16.0363;4.10854;3.94251;3.0629;16.8729;0.252565;4.40994;0;0;
L;16.3489;4.22035;4.15297;2.60678;16.2319;4.26363;3.87716;3.13723;0;0;0;16.3313;4.44499;
R;16.5386;4.44772;4.10266;2.83538;16.4242;4.42242;3.80966;3.21109;17.3477;0.261345;4.72541;0;0;
L;16.7554;4.59171;4.12795;2.84016;16.613;4.5849;3.74;3.28438;0;0;0;16.6039;4.67344;
R;16.9268;4.7788;4.05859;2.95054;16.7983;4.75103;3.66817;3.35704;17.6757;0.292764;3.91006;0;0;
L;17.0694;4.91849;3.68425;2.86305;16.9799;4.92077;3.59416;3.42897;0;0;0;16.9955;5.21099;
R;17.218;5.19128;3.59492;3.16884;17.1579;5.09409;3.51797;3.50008;17.9537;0.261769;4.23232;0;0;
L;17.3943;5.32224;3.55428;3.0924;17.3319;5.27094;3.4396;3.57028;0;0;0;17.2894;5.43542;
R;17.5426;5.53266;3.49074;3.22618;17.5019;5.45128;3.35907;3.63949;18.2733;0.262734;4.05972;0;0;
L;17.7042;5.65365;3.40002;3.10924;17.6679;5.63506;3.27637;3.70762;0;0;0;17.7853;5.62476;
R;17.8928;5.79055;3.43654;3.06318;17.8297;5.82221;3.19151;3.77458;18.9222;0.326645;3.86213;0;0;
L;18.04;5.94452;3.2741;3.03;17.9872;6.01269;3.10453;3.84027;0;0;0;18.1263;6.16985;
